JnlTitle,Publisher,PubCountry,Fee,WaiverPolicy,Identifiers,FirstYear,Language,ReviewProcess,Plagiarism,Sub2Pub,JnlLicense,AuthorCopyright,DOAJ_Seal
Revista de Microbiologia,Sociedade Brasileira de Microbiologia,Brazil,NA,NA,,1998,English,NA,NA,NA,NA,NA,No
Anais da Academia Brasileira de Ciências,Academia Brasileira de Ciências,Brazil,No,NA,DOI,2000,English,Peer review,Yes,18,CC BY,False,No
ACME,Università degli Studi di Milano,Italy,No,NA,"DOI, NBN",2014,Italian,Blind peer review,NA,12,CC BY-NC-ND,True,No
Acta Dermato-Venereologica,Society for Publication of Acta Dermato-Venereologica,Sweden,Yes,NA,DOI,1998,English,Peer review,NA,20,CC BY-NC,False,No
Acta Mycologica,Polish Botanical Society,Poland,Yes,NA,DOI,2006,English,Double blind peer review,Yes,16,CC BY,True,No
Acta Societatis Botanicorum Poloniae,Polish Botanical Society,Poland,Yes,NA,DOI,2011,English,Double blind peer review,Yes,16,CC BY,True,No
Acta Stomatologica Croatica,University of Zagreb. School of Dental Medicine,Croatia,No,NA,DOI,1966,"Croatian, English",Double blind peer review,NA,12,CC BY-NC-ND,False,No
Acta Veterinaria Brno,"University of Veterinary and Pharmaceutical Sciences, Brno",Czech Republic,Yes,NA,,1978,English,Blind peer review,NA,7,CC BY,False,No
Africa Spectrum,German Institute of Global and Area Studies (GIGA),Germany,No,NA,URN,2009,English,Double blind peer review,NA,20,CC BY-ND,True,No
Revista Alergia México,"Colegio Mexicano de Inmunología Clínica y Alergia, A.C.",Mexico,No,NA,,2014,Spanish; Castilian,Double blind peer review,NA,16,CC BY-NC,False,No
Alfa: Revista de Lingüística,Universidade Estadual Paulista Júlio de Mesquita Filho,Brazil,No,NA,DOI,2011,"English, French, Italian, Portuguese, Spanish; Castilian",Peer review,NA,23,CC BY,False,No
Anali Pravnog Fakulteta u Beogradu,"University of Belgrade, Faculty of Law, Belgrade, Serbia",Serbia,No,NA,DOI,2014,English,Double blind peer review,NA,3,CC BY,True,No
Análise Social ,Instituto de Ciências Sociais da Universidade de Lisboa,Portugal,No,NA,,2008,"English, Portuguese",Double blind peer review,NA,40,CC BY,False,No
Angle Orthodontist,E.H Angle Education and Research Foundation,United States,No,NA,DOI,2004,English,Double blind peer review,Yes,45,Publisher's own license,False,No
Archives Animal Breeding,Copernicus Publications,Germany,No,Yes,DOI,1999,English,Peer review,Yes,13,CC BY,True,Yes
Archivo Español de Arte,Consejo Superior de Investigaciones Científicas,Spain,No,NA,DOI,1996,"English, Spanish; Castilian",Double blind peer review,NA,48,CC BY-NC,False,No
Archivos de Zootecnia,Universidad de Córdoba,Spain,No,NA,,1975,"English, French, Italian, Portuguese, Spanish; Castilian",Double blind peer review,NA,43,CC BY-SA,True,No
Arquivos Brasileiros de Oftalmologia,Conselho Brasileiro de Oftalmologia,Brazil,Yes,NA,DOI,2001,English,Blind peer review,NA,24,CC BY,False,No
Arquivos de Gastroenterologia,Instituto Brasileiro de Estudos e Pesquisas de Gastroenterologia (IBEPEGE),Brazil,No,NA,DOI,1999,English,Blind peer review,NA,9,CC BY-NC,False,No
Arquivos de Neuro-Psiquiatria,Academia Brasileira de Neurologia (ABNEURO),Brazil,No,NA,DOI,2000,English,Peer review,NA,7,CC BY-NC,False,No
Ars Pharmaceutica,"Facultad de Farmacia, Universidad de Granada",Spain,No,NA,DOI,2002,"English, Spanish; Castilian",Peer review,NA,10,CC BY-NC-SA,False,No
Bibliotecas: Anales de Investigación,Biblioteca Nacional de Cuba,Cuba,No,NA,,2000,"English, Portuguese, Spanish; Castilian",Double blind peer review,NA,24,CC BY-NC-SA,True,No
"Bijdragen tot de Taal-, Land- en Volkenkunde ",BRILL,Netherlands,No,NA,DOI,2013,"Dutch; Flemish, English",Double blind peer review,NA,20,CC BY-NC,False,No
Boletín Cultural y Bibliográfico,Banco de la República,Colombia,No,NA,,1958,Spanish; Castilian,Editorial review,NA,24,CC BY-NC-SA,False,No
Bothalia: African Biodiversity & Conservation,AOSIS,South Africa,No,NA,DOI,2014,English,Double blind peer review,Yes,12,CC BY,True,Yes
Bragantia,Instituto Agronômico de Campinas,Brazil,Yes,NA,DOI,1998,"English, Portuguese",Peer review,NA,4,CC BY-NC,False,No
Brodogradnja,Faculty of Mechanical Engineering and Naval Architecture,Croatia,No,NA,,2005,"Croatian, English",Double blind peer review,NA,8,CC BY,True,No
California Agriculture,University of California Agriculture and Natural Resources,United States,No,NA,DOI,1946,English,Double blind peer review,NA,20,CC BY-NC-ND,False,No
Časopis pro Moderní Filologii,"Univerzita Karlova, Filozofická fakulta",Czech Republic,No,NA,,2015,"Czech, English",Double blind peer review,NA,22,CC BY-NC-ND,False,No
Catalogue and Index,	Chartered Institute of Library and Information Professionals (CILIP),United Kingdom,No,NA,,2016,English,Editorial review,NA,4,CC BY,True,No
Anales de la Cátedra Francisco Suárez,Universidad de Granada,Spain,No,NA,,2003,Spanish; Castilian,Blind peer review,NA,16,CC BY-NC-ND,True,No
Ciceroniana,Università di Torino,Italy,No,NA,DOI,1959,"English, French, German, Italian, Spanish; Castilian",Double blind peer review,NA,20,CC BY-SA,True,No
Ciencias Administrativas,Uiversidad Nacional de La Plata,Argentina,No,NA,,2013,Spanish; Castilian,Blind peer review,NA,6,CC BY,True,No
Collectanea Botanica,Consejo Superior de Investigaciones Científicas,Spain,No,NA,DOI,1988,"Catalan; Valencian, English, French, Portuguese, Spanish; Castilian",Blind peer review,NA,48,CC BY-NC,False,No
College and Research Libraries,Association of College and Research Libraries,United States,No,NA,DOI,1939,English,Double blind peer review,NA,45,CC BY-NC,True,No
Crítica. Revista Hispanoamericana de Filosofía,"Instituto de Investigaciones Filosóficas, UNAM",Mexico,No,NA,,1967,"English, Spanish; Castilian",Double blind peer review,NA,24,Publisher's own license,False,No
Croatica Chemica Acta,Croatian Chemical Society,Croatia,No,NA,DOI,1990,English,Blind peer review,Yes,20,CC BY,True,No
Current Therapeutic Research,Elsevier,Netherlands,Yes,NA,DOI,2006,English,Double blind peer review,Yes,12,CC BY-NC-ND,True,No
Dados: Revista de Ciências Sociais,Universidade do Estado do Rio de Janeiro,Brazil,No,NA,DOI,1996,"English, French, Portuguese, Spanish; Castilian",Peer review,NA,10,CC BY-NC,False,No
Darwiniana,Instituto de Botánica Darwinion y el Museo Botánico de Córdoba,Argentina,No,NA,DOI,2012,"English, Spanish; Castilian",Double blind peer review,NA,26,CC BY-NC,False,No
Deutsches Ärzteblatt,Deutscher Ärzte-Verlag,Germany,No,NA,DOI,1997,"English, German",Peer review,NA,40,Publisher's own license,False,No
Dyna,Universidad Nacional de Colombia ,Colombia,No,NA,DOI,2002,"English, Spanish; Castilian",Double blind peer review,Yes,24,CC BY-NC-ND,False,No
Edda,Scandinavian University Press/Universitetsforlaget,Norway,No,NA,DOI,2017,"Bokmål, Norwegian; Norwegian Bokmål, Danish, English, Norwegian Nynorsk; Nynorsk, Norwegian, Swedish",Double blind peer review,NA,52,CC BY-NC,True,No
Ekonomski Anali,"Faculty of Economics, Belgrade",Serbia,No,NA,DOI,2002,English,Double blind peer review,NA,18,CC BY-NC-ND,False,No
